paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
41,42,104,GulliVR: A walking-oriented technique for navigation in virtual reality games based on virtual body resizing,"Virtual reality games, navigation, physical walking, presence, virtual body size, miniature world",30,15,15,,,27.6,11.18,3D Graphics - HMD VR,Unknown,Interaction techniques,Navigation,Not Mentioned,Not Sure,,45,1,Study 1,,30,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,"TTest, Levene’s and Kolmogorov-Smirnov tests;  MannWhitney U tests",,,2,6,Navigation,Teleportation,No,15,,,,,,3.21,3.07,2.17,3,,0.93,1.11,0.63,1.51,,,,,,,3,A Krekhov; S Cmentowski; K Emmerich�,2018,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242704,https://scholar.google.com/scholar?cites=7527593946888583397&as_sdt=2005&sciodt=0;5&hl=en,259,43628,,,,,,,,,3,3,1,4,1,YES,Navigation,,-1.99,-0.142142857,TRUE,1.05,0.28,-3.32,0,0.21,0.07,-0.83,0,3D Graphics - HMD VR
42,43,110,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,Comp.+circ. color,No,13,16.06,13.47,12.8,3.58,,,,,,,2.69,2.69,2.69,2.69,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,3.91,0.279285714,TRUE,1.06,1.47,0.8,0.58,0.212,0.3675,0.2,0.58,3D Graphics - HMD VR
121,129,305,Influence of Network Delay in Virtual Reality Multiplayer Exergames: Who is actually delayed?,"Virtual Reality, Multiplayer Exergames, QoE, Network Delay",23,17,6,,,25.57,3.41,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,23,,,,,,,within-subject,each component,/Mean//Other,Other,After,No,ANOVA,,,2,17,Delay,HIGH,No,23,,,,,,4.222,3.63,3.152,4.087,,,,,,,0.128,0.116,0.084,0.19,,0,T Kojic; S Schmidt; S Möller…,2019,… Conference on Quality …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8743342/,,260,43676,,,,,,,,,0,0,0,4,,YES,Exergame,Lack report for some condition,-3.762,-0.268714286,TRUE,1.11,-1.48,-3.392,0.087,0.222,-0.37,-0.848,0.087,3D Graphics - HMD VR
116,124,296,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,GroupxVR,Pain TolerantxLow Complexity,Yes,31,,,,,,0.23,0.13,-0.64,0.57,,1.41,0.93,1.17,1.9,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-0.89,-0.063571429,TRUE,1.15,0.52,-2.56,0.57,0.23,0.13,-0.64,0.57,3D Graphics - HMD VR
6,6,20,The relationship between individual characteristics and experienced presence,"Individual characteristics, Presence, Cybersickness, Public  speaking  world, Neutral  world,  Stereoscopy",88,53,35,18,70,28,6.3,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual characteristics,Not Mentioned,Not Sure,,90 (whole experiment),1,Study 1,,88,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"TTest,Correlation analyses",,,1,6,VE,Non-stereoscopic neutral world,No,88,,,,,,3.24,3,2.78,3.49,,1.23,1.35,0.96,1.52,,,,,,,48,Y Ling; HT Nefs; WP Brinkman; C Qu�,2013,Computers in Human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563212003391,https://scholar.google.com/scholar?cites=2034754833935903691&as_sdt=2005&sciodt=0;5&hl=en,42,43628,,,,,,,,,48,8,10,5,6,YES,Individual Characteristics,Unknown Scale,0.32,0.022857143,TRUE,1.2,0,-0.88,0.49,0.24,0,-0.22,0.49,3D Graphics - HMD VR
139,150,365,Influence of auditory cues on the visually-induced self-motion illusion (circular vection) in virtual reality,"Vection, self-motion perception, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, auditory cues, HRTF",20,8,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,English,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean//,Chart,After,No,TTest,,,2,17,Sound,no,No,20,,,,,,4.25,3.85,3.59,4.2,3.94,,,,,,,,,,,40,BE Riecke; J Schulte-Pelkum; F Caniard�,2005,��Workshop Presence,cyberneum.de,http://www.cyberneum.de/fileadmin/user_upload/files/publications/Riecke__05_paper4Presence2005_Influence_of_Auditory_Cues_on_the_visually-induced_Self-Motion_Illusion_-Circular_Vection-_in_Virtual_Reality_3466[0].pdf,https://scholar.google.com/scholar?cites=16477170669748724079&as_sdt=2005&sciodt=0;5&hl=en,151,43628,PDF,,,,,,,,40,2.86,10,4,14,YES,Vection,,-0.84,-0.06,TRUE,1.25,-0.6,-1.64,0.2,0.25,-0.15,-0.41,0.2,Projection Display
4,4,11,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Total,No,120,21.29,16.85,14.15,3.95,,,,,,,5.772,5.319,5.518,1.539,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,0.24,0.017142857,TRUE,1.29,0.85,-1.85,-0.05,0.258,0.2125,-0.4625,-0.05,3D Graphics - HMD VR
16,17,40,Can decision-making skills affect responses to psychological stress in healthy women?,"Stress, Decision-making, Cortisol, TSST, Virtual reality",40,,,,,28,11.08,Other,Stereo sound,Social Science and psychology,Stress; Decision-making;,Not Mentioned,Not Sure,,90,1,Study 1,,38,,,,,29.52/25.36,12.03/7.75,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,1,-33,IGT,Good IGT performance,No,23,1.31,2.47,-2.68,0.47,,,,,,,3.75,4.7,3.23,1.74,,,,,,,27,A Santos-Ruiz; MC Garcia-Rios�,2012,�,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306453012001345,https://scholar.google.com/scholar?cites=15404127022972111759&as_sdt=2005&sciodt=0;5&hl=en,25,43628,,,,,,,,,27,3.86,9,3,7,YES,Stress,,1.57,0.112142857,TRUE,1.31,2.47,-2.68,0.47,0.262,0.6175,-0.67,0.47,3D Graphics - Monoscopic
55,56,141,Obstacle Avoidance Method in Real Space for Virtual Reality Immersion,"Virtual Reality, immersive feeling, walking assistance",17,16,1,22,25,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques",,Not Mentioned,Not Sure,,,1,Study 1,,17,,,,,,,within-subject,each component,/Mean//Other,Chart,After,No,Friedman-test; Wilcoxon signed rank,,,2,6,Condition,Chaperone,No,17,,,,,,3.27,1.9,1.84,3.78,,,,,,,1.9,1.26,2.5,1.51,,1,K Kanamori; N Sakata; T Tominaga�,2018,��on Mixed and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613753/,https://scholar.google.com/scholar?cites=17339562296554789106&as_sdt=2005&sciodt=0;5&hl=en,285,43628,,,,,,,,,1,1,0,4,1,YES,Obstacle Avoidance,Mean(IQR),-7.69,-0.549285714,TRUE,1.35,-4.4,-4.64,0.78,0.27,-1.1,-1.16,0.78,3D Graphics - HMD VR
119,127,302,Reaching a higher sense of presence in VR through 3D architectural visualization,"Virtual reality, phobia treatment, presence, 3D visualization",20,,,19,34,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,8.5,20,,,,,23.4/24.1,,between-subject,each component,/Mean//,Chart,After,No,Mann-Whitney U Test,,,2,-33,VE,2D,No,10,,,,,,0.28,-0.15,-0.84,0.1,,,,,,,,,,,,1,E Sabadi,2008,Delft University of Technology; Media and Knowledge …,mmi.tudelft.nl,http://www.mmi.tudelft.nl/~vrphobia/THESIS_ErvinSabadi.pdf,https://scholar.google.com/scholar?cites=1101007825968562232&as_sdt=2005&sciodt=0;5&hl=en,178,43676,PDF,,,,,,,,1,0.09,1,1,,YES,Visualization,,-2.56,-0.182857143,TRUE,1.4,-0.6,-3.36,0.1,0.28,-0.15,-0.84,0.1,3D Graphics - HMD VR
127,135,321,Body Movement Reduces Pain Intensity in Virtual Reality - Based Analgesia,,46,15,31,18,31,21.1/20.7,3.41/1.74,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,46,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,-33,Movement,Small,No,46,,,,,,0.28,-0.52,-0.79,0.67,,1.33,1.47,1.22,1.63,,,,,,,0,M Czub; J Piskorz,2018,International Journal of Human–Computer …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10447318.2017.1412144,,375,43676,,,,,,,,,0,0,0,2,,YES,Pain,Unknown Scale,-3.84,-0.274285714,TRUE,1.4,-2.08,-3.16,0.67,0.28,-0.52,-0.79,0.67,3D Graphics - HMD VR
114,122,288,Perceptual calibration in virtual reality applications,,19,,,,,,,"3D Graphics - Monoscopic,Projection Display",Unknown,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,60,1,Study 1,,19,,,,,25/25,2-Jun,between-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,-33,Condition,3-screen,No,11,,,,,,0.296,-0.3952,-0.5144,0.0888,,,,,,,,,,,,4,DR Mestre,2016,Electronic Imaging,ingentaconnect.com,https://www.ingentaconnect.com/contentone/ist/ei/2016/00002016/00000004/art00003,https://scholar.google.com/scholar?cites=16689666532010075657&as_sdt=2005&sciodt=0;5&hl=en,147,43676,,,,,,,,,4,1.33,4,1,,YES,Perceptual Calibration,,-2.1584,-0.154171429,TRUE,1.48,-1.5808,-2.0576,0.0888,0.296,-0.3952,-0.5144,0.0888,3D Graphics - Monoscopic
4,4,13,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Anger,No,24,21.5,18.04,13.79,3.75,,,,,,,3.636,4.486,5.421,1.482,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,1.08,0.077142857,TRUE,1.5,2.04,-2.21,-0.25,0.3,0.51,-0.5525,-0.25,3D Graphics - HMD VR
105,110,260,Darkness-enhanced startle responses in ecologically valid environments: a virtual tunnel driving experiment,"Startle reflex, Context, Anxiety, Virtual reality",26,,19,19,47,22.31,5.45,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,26,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,-33,Condition,Passive,No,26,,,,,,0.31,0.06,-0.71,-0.23,,1.15,1.2,1.32,1.58,,,,,,,53,A Mühlberger; MJ Wieser; P Pauli,2008,Biological psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301051107001500,https://scholar.google.com/scholar?cites=2155145112227060337&as_sdt=2005&sciodt=0;5&hl=en,113,43676,,,,,,,,,53,4.82,18,3,,YES,Anxiety,Unknown Scale,-1.05,-0.075,TRUE,1.55,0.24,-2.84,-0.23,0.31,0.06,-0.71,-0.23,3D Graphics - HMD VR
127,135,322,Body Movement Reduces Pain Intensity in Virtual Reality - Based Analgesia,,46,15,31,18,31,21.1/20.7,3.41/1.74,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,46,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,-33,Movement,Large,No,46,,,,,,0.32,-0.45,-0.84,1.07,,1.15,1.21,1.02,1.59,,,,,,,0,M Czub; J Piskorz,2018,International Journal of Human–Computer …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10447318.2017.1412144,,375,43676,,,,,,,,,0,0,0,2,,YES,Pain,Unknown Scale,-3.56,-0.254285714,TRUE,1.6,-1.8,-3.36,1.07,0.32,-0.45,-0.84,1.07,3D Graphics - HMD VR
139,150,366,Influence of auditory cues on the visually-induced self-motion illusion (circular vection) in virtual reality,"Vection, self-motion perception, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, auditory cues, HRTF",20,8,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,English,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean//,Chart,After,No,TTest,,,2,17,Sound,mono,No,20,,,,,,4.33,3.92,3.64,4.2,4.01,,,,,,,,,,,40,BE Riecke; J Schulte-Pelkum; F Caniard�,2005,��Workshop Presence,cyberneum.de,http://www.cyberneum.de/fileadmin/user_upload/files/publications/Riecke__05_paper4Presence2005_Influence_of_Auditory_Cues_on_the_visually-induced_Self-Motion_Illusion_-Circular_Vection-_in_Virtual_Reality_3466[0].pdf,https://scholar.google.com/scholar?cites=16477170669748724079&as_sdt=2005&sciodt=0;5&hl=en,151,43628,PDF,,,,,,,,40,2.86,10,4,14,YES,Vection,,0.14,0.01,TRUE,1.65,-0.32,-1.44,0.2,0.33,-0.08,-0.36,0.2,Projection Display
6,6,21,The relationship between individual characteristics and experienced presence,"Individual characteristics, Presence, Cybersickness, Public  speaking  world, Neutral  world,  Stereoscopy",88,53,35,18,70,28,6.3,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual characteristics,Not Mentioned,Not Sure,,90 (whole experiment),1,Study 1,,88,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"TTest,Correlation analyses",,,1,6,VE,Non-stereoscopic  public  speaking  world ,No,88,,,,,,3.34,3.37,2.65,3.39,,1.48,1.52,1.34,1.83,,,,,,,48,Y Ling; HT Nefs; WP Brinkman; C Qu�,2013,Computers in Human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563212003391,https://scholar.google.com/scholar?cites=2034754833935903691&as_sdt=2005&sciodt=0;5&hl=en,42,43628,,,,,,,,,48,8,10,5,6,YES,Individual Characteristics,Unknown Scale,1.78,0.127142857,TRUE,1.7,1.48,-1.4,0.39,0.34,0.37,-0.35,0.39,3D Graphics - HMD VR
102,107,253,Guidelines on successfully porting non-immersive games to virtual reality: a case study in minecraft,"Virtual reality, user study, video games, emotions, Minecraft",14,10,,18,31,21.07,3.76,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Stereo sound,"Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,14,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,Linear mixed model,,,4,17,EnvironmentxOrder,Desktopx1,Yes,14,,,,,,4.34,3.73,3.15,4.72,,,,,,,,,,,,4,J Porter III; M Boyer; A Robb,2018,… of the 2018 Annual Symposium on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242677,https://scholar.google.com/scholar?cites=3495142269655943602&as_sdt=2005&sciodt=0;5&hl=en,11,43676,,,,,,,,,4,4,1,,,YES,Game Porting,,-2.78,-0.198571429,TRUE,1.7,-1.08,-3.4,0.72,0.34,-0.27,-0.85,0.72,3D Graphics - Monoscopic
138,149,363,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 2,,10,,,17,27,22.8,2.7,within-subject,each component,/Mean//,Chart,After,No,"TTest,Paired-Samples Correlations",,,2,17,Scene,upright,No,10,,,,,,4.34,3.6,3.6,4.3,3.91,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-1.26,-0.09,TRUE,1.7,-1.6,-1.6,0.3,0.34,-0.4,-0.4,0.3,Projection Display
137,146,347,Moving sounds enhance the visually-induced self-motion illusion (circular vection) in virtual reality,"Audiovisual interactions, presence, psychophysics, self-motion simulation, spatial sound, vection, virtual reality",32,,,,,,,Projection Display,Stereo sound,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,20,,,,,28.7,8,within-subject,each component,/Mean//,Chart,After,No,ANOVA,T-test,,2,17,Audiotory,Mono sound,No,20,,,,,,4.35,3.95,3.61,4.27,4.02,,,,,,,,,,,98,BE Riecke; A V�ljam�e; J Schulte-Pelkum,2009,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1498701,https://scholar.google.com/scholar?cites=10567446197223633119&as_sdt=2005&sciodt=0;5&hl=en,245,43628,,,,,,,,,98,9.8,33,3,10,YES,Vection,,0.28,0.02,TRUE,1.75,-0.2,-1.56,0.27,0.35,-0.05,-0.39,0.27,Projection Display
44,45,112,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DaylightxNo task,Yes,12,,,,,,0.35,0.54,-0.33,0.83,,0.95,1.26,0.76,1.47,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,2.59,0.185,TRUE,1.75,2.16,-1.32,0.83,0.35,0.54,-0.33,0.83,3D Graphics - Monoscopic
122,130,307,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,D,No,12,,,,,,3.35,3.54,2.67,3.83,,0.95,1.26,0.76,1.47,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,2.59,0.185,TRUE,1.75,2.16,-1.32,0.83,0.35,0.54,-0.33,0.83,3D Graphics - Monoscopic
55,56,142,Obstacle Avoidance Method in Real Space for Virtual Reality Immersion,"Virtual Reality, immersive feeling, walking assistance",17,16,1,22,25,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques",,Not Mentioned,Not Sure,,,1,Study 1,,17,,,,,,,within-subject,each component,/Mean//Other,Chart,After,No,Friedman-test; Wilcoxon signed rank,,,2,6,Condition,Point cloud,No,17,,,,,,3.36,1.81,1.69,3.43,,,,,,,2.38,0.87,1.51,2.5,,1,K Kanamori; N Sakata; T Tominaga�,2018,��on Mixed and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613753/,https://scholar.google.com/scholar?cites=17339562296554789106&as_sdt=2005&sciodt=0;5&hl=en,285,43628,,,,,,,,,1,1,0,4,1,YES,Obstacle Avoidance,Mean(IQR),-8.2,-0.585714286,TRUE,1.8,-4.76,-5.24,0.43,0.36,-1.19,-1.31,0.43,3D Graphics - HMD VR
81,84,205,Towards lean and elegant self-motion simulation in virtual reality,"Vection, self-motion illusion, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, vibrations, auditory cues",53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 3,,19,,,,,,,within-subject,each component,/Mean/SD/,Chart,Unknown,No,TTest,,,2,17,Audio,Mono presentation,No,19,,,,,,4.37,3.83,3.7,4.16,4.01,1.21,1.46,1.29,1.5,1.11,,,,,,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,0.14,0.01,TRUE,1.85,-0.68,-1.2,0.16,0.37,-0.17,-0.3,0.16,Projection Display
